,song,artist
715,Wait For You,Elliott Yamin
716,Say It Right,Nelly Furtado
717,Irreplaceable,Beyonce
718,Smack That,Akon Featuring Eminem
719,Suddenly I See,KT Tunstall
720,Far Away,Nickelback
721,Buttons,The Pussycat Dolls Featuring Snoop Dogg
722,Black Horse & The Cherry Tree,KT Tunstall
723,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
724,Heaven,Los Lonely Boys
725,Dip It Low,Christina Milian
726,Burn,Usher
727,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy
728,Tipsy,J-Kwon
729,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
730,In Da Club,50 Cent
731,Miss You,Aaliyah
732,Underneath It All,No Doubt Featuring Lady Saw
733,"Lights, Camera, Action!",Mr. Cheeks
734,Differences,Ginuwine
735,Case Of The Ex (Whatcha Gonna Do),Mya
736,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne
737,All Star,Smash Mouth
738,Angel Of Mine,Monica
739,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
740,Bitch,Meredith Brooks
741,Ooh Aah... Just A Little Bit,Gina G
742,Mouth,Merril Bainbridge
743,It's All Coming Back To Me Now,Celine Dion
744,You Learn/You Oughta Know,Alanis Morissette
745,Who Will Save Your Soul,Jewel
746,Back For Good,Take That
747,Someone To Love,Jon B. Featuring Babyface
748,Freak Like Me,Adina Howard
749,Take A Bow,Madonna
750,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze
751,Short Dick Man,20 Fingers Featuring Gillette
752,I'll Stand By You,Pretenders
753,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories
754,I Swear,All-4-One
755,Hero,Mariah Carey
756,Ditty,Paperboy
757,Do You Believe In Us,Jon Secada
758,Back To The Hotel,N2Deep
759,Jump Around,House Of Pain
760,My Lovin' (You're Never Gonna Get It),En Vogue
761,Heat Of The Moment,After 7
762,Close To You,Maxi Priest
763,Me So Horny,The 2 Live Crew
764,I'll Always Love You,Taylor Dayne
765,In My Dreams,REO Speedwagon
766,Borderline,Madonna
767,Our Lips Are Sealed,Go-Go's
768,Celebration,Kool & The Gang
769,Wipe Out,The Surfaris
770,Kiss Me More,Doja Cat Featuring SZA
771,Deja Vu,Olivia Rodrigo
772,Heartbreak Anniversary,Giveon
773,Glad You Exist,Dan + Shay
774,Positions,Ariana Grande
775,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
776,Laugh Now Cry Later,Drake Featuring Lil Durk
777,If The World Was Ending,JP Saxe Featuring Julia Michaels
778,Be Alright,Dean Lewis
779,Taste,Tyga Featuring Offset
780,Yes Indeed,Lil Baby & Drake
781,Friends,Marshmello & Anne-Marie
782,I Fall Apart,Post Malone
783,Mi Gente,J Balvin & Willy William Featuring Beyonce
784,It Ain't Me,Kygo x Selena Gomez
785,Issues,Julia Michaels
786,Starving,Hailee Steinfeld & Grey Featuring Zedd
787,Too Good,Drake Featuring Rihanna
788,Lips Are Movin,Meghan Trainor
789,I Don't F**k With You,Big Sean Featuring E-40
790,The Monster,Eminem Featuring Rihanna
791,HeadBand,B.o.B Featuring 2 Chainz
792,Get Lucky,Daft Punk Featuring Pharrell Williams
793,Power Trip,J. Cole Featuring Miguel
794,I Love It,Icona Pop Featuring Charli XCX
795,Madness,Muse
796,Swimming Pools (Drank),Kendrick Lamar
797,As Long As You Love Me,Justin Bieber Featuring Big Sean
798,Whistle,Flo Rida
799,Domino,Jessie J
800,It Will Rain,Bruno Mars
801,I Will Always Love You,Whitney Houston
802,You Make Me Feel...,Cobra Starship Featuring Sabi
803,On The Floor,Jennifer Lopez Featuring Pitbull
804,For The First Time,The Script
805,Club Can't Handle Me,Flo Rida Featuring David Guetta
806,Love The Way You Lie,Eminem Featuring Rihanna
807,Cooler Than Me,Mike Posner
808,Break Your Heart,Taio Cruz Featuring Ludacris
809,Say Aah,Trey Songz Featuring Fabolous
810,Live Like We're Dying,Kris Allen
811,Sweet Dreams,Beyonce
812,Dead And Gone,T.I. Featuring Justin Timberlake
813,It's Not My Time,3 Doors Down
814,With You,Chris Brown
815,Glamorous,Fergie Featuring Ludacris
816,It's Not Over,Daughtry
817,I Wanna Love You,Akon Featuring Snoop Dogg
818,My Love,Justin Timberlake Featuring T.I.
819,Crazy,Gnarls Barkley
820,Walk Away,Kelly Clarkson
821,Disco Inferno,50 Cent
822,Karma,Alicia Keys
823,One Thing,Finger Eleven
824,Leave (Get Out),JoJo
825,Baby Boy,Beyonce Featuring Sean Paul
826,Calling All Angels,Train
827,Your Body Is A Wonderland,John Mayer
828,Landslide,Dixie Chicks
829,Dilemma,Nelly Featuring Kelly Rowland
830,Soak Up The Sun,Sheryl Crow
831,My Sacrifice,Creed
832,Where The Party At,Jagged Edge With Nelly
833,Peaches & Cream,112
834,Ride Wit Me,Nelly Featuring City Spud
835,Dance With Me,Debelah Morgan
836,Bring It All To Me,Blaque
837,Sexual (Li Da Di),Amber
838,Scar Tissue,Red Hot Chili Peppers
839,Nobody's Supposed To Be Here,Deborah Cox
840,"Last Night (From ""The Nutty Professor"")",Az Yet
841,Loungin,LL Cool J
842,Just A Girl,No Doubt
843,I Can Love You Like That,All-4-One
844,Boombastic/In The Summertime,Shaggy
845,Don't Take It Personal (Just One Of Dem Days),Monica
846,"Shy Guy (From ""Bad Boys"")",Diana King
847,This Is How We Do It,Montell Jordan
848,Shine,Collective Soul
849,Whatta Man,Salt-N-Pepa Featuring En Vogue
850,Because The Night,"10,000 Maniacs"
851,Dreamlover,Mariah Carey
852,"Can't Help Falling In Love (From ""Sliver"")",UB40
853,I'll Never Get Over You (Getting Over Me),Expose
854,Two Princes,Spin Doctors
855,Hard To Handle,The Black Crowes
856,Round And Round,Tevin Campbell
857,High Enough,Damn Yankees
858,No More Lies,Michel'le
859,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
860,Hands To Heaven,Breathe
861,You Can Call Me Al,Paul Simon
862,I Miss You,Klymaxx
863,Break My Stride,Matthew Wilder
864,Total Eclipse Of The Heart,Bonnie Tyler
865,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack
866,I Know There's Something Going On,Frida
867,You And I,Eddie Rabbitt With Crystal Gayle
868,Key Largo,Bertie Higgins
869,Upside Down,Diana Ross
870,With You I'm Born Again,Billy Preston & Syreeta
871,Disco Inferno,The Trammps
872,(Love Is) Thicker Than Water,Andy Gibb
873,Devil's Gun,C.J. & Company
874,Dream On,Aerosmith
875,Harlem Nocturne,The Viscounts
876,Astronaut In The Ocean,Masked Wolf
877,Drivers License,Olivia Rodrigo
878,Dakiti,Bad Bunny & Jhay Cortez
879,ily,Surf Mesa Featuring Emilee
880,Savage,Megan Thee Stallion
881,High Fashion,Roddy Ricch Featuring Mustard
882,One Man Band,Old Dominion
883,"Thank U, Next",Ariana Grande
884,Mo Bamba,Sheck Wes
885,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
886,Bank Account,21 Savage
887,Strip That Down,Liam Payne Featuring Quavo
888,In Case You Didn't Know,Brett Young
889,Bounce Back,Big Sean
890,Caroline,Amine
891,Side To Side,Ariana Grande Featuring Nicki Minaj
892,You Was Right,Lil Uzi Vert
893,Same Old Love,Selena Gomez
894,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan
895,Na Na,Trey Songz
896,My Hitta,YG Featuring Jeezy & Rich Homie Quan
897,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
898,Thinkin Bout You,Frank Ocean
899,Don't Wake Me Up,Chris Brown
900,Work Out,J. Cole
901,Stereo Love,Edward Maya & Vika Jigulina
902,Just A Dream,Nelly
903,Ridin' Solo,Jason Derulo
904,Your Love Is My Drug,Ke$ha
905,Nothin' On You,B.o.B Featuring Bruno Mars
906,Party In The U.S.A.,Miley Cyrus
907,The Climb,Miley Cyrus
908,Live Your Life,T.I. Featuring Rihanna
909,Miss Independent,Ne-Yo
910,Lollipop,Lil Wayne Featuring Static Major
911,Say,John Mayer
912,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia"
913,Thnks Fr Th Mmrs,Fall Out Boy
914,Hate Me,Blue October
915,It's Goin' Down,Yung Joc
916,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
917,Savin' Me,Nickelback
918,SOS,Rihanna
919,Rompe,Daddy Yankee
920,Check On It,Beyonce Featuring Slim Thug
921,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
922,We Be Burnin',Sean Paul
923,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop
924,Switch,Will Smith
925,How We Do,The Game Featuring 50 Cent
926,I Don't Want To Be,Gavin DeGraw
927,Diary,Alicia Keys Featuring Tony! Toni! Tone!
928,Slow Motion,Juvenile Featuring Soulja Slim
929,Meant To Live,Switchfoot
930,It's My Life,No Doubt
931,Stand Up,Ludacris Featuring Shawnna
932,So Far Away,Staind
933,The Remedy (I Won't Worry),Jason Mraz
934,All You Wanted,Michelle Branch
935,What's Luv?,Fat Joe Featuring Ashanti
936,What Would You Do?,City High
937,Angel,Shaggy Featuring Rayvon
938,He Loves U Not,Dream
939,Independent Women Part I,Destiny's Child
940,Thong Song,Sisqo
941,That's The Way It Is,Celine Dion
942,My Love Is Your Love,Whitney Houston
943,She's So High,Tal Bachman
944,Man! I Feel Like A Woman!,Shania Twain
945,No Scrubs,TLC
946,That Don't Impress Me Much,Shania Twain
947,Heartbreak Hotel,Whitney Houston Feat. Faith Evans & Kelly Price
948,Back 2 Good,matchbox 20
949,Angel,Sarah McLachlan
950,Save Tonight,Eagle-Eye Cherry
951,Sex And Candy,Marcy Playground
952,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz
953,I Don't Ever Want To See You Again,Uncle Sam
954,Invisible Man,98 Degrees
955,Do You Know (What It Takes),Robyn
956,Cupid,112
957,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
958,Only You,112 Featuring The Notorious B.I.G.
959,Before You Walk Out Of My Life/Like This And Like That,Monica
960,Water Runs Dry,Boyz II Men
961,I Wanna Be Down,Brandy
962,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain
963,Please Forgive Me,Bryan Adams
964,Dreams,Gabrielle
965,Show Me Love,Robin S.
966,"Love Is (From ""Beverly Hills, 90210"")",Vanessa Williams/Brian McKnight
967,Rump Shaker,Wreckx-N-Effect
968,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn
969,Baby Got Back,Sir Mix-A-Lot
970,Come & Talk To Me,Jodeci
971,All 4 Love,Color Me Badd
972,Back To Life,Soul II Soul
973,Hooked On You,Sweet Sensation
974,"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel
975,When I'm With You,Sheriff
976,"Kokomo (From""Cocktail"" )",The Beach Boys
977,Please Don't Go Girl,New Kids On The Block
978,Here I Go Again,Whitesnake
979,Only In My Dreams,Debbie Gibson
980,What's Love Got To Do With It,Tina Turner
981,Hurts So Good,John Cougar
982,Don't You Want Me,The Human League
983,Chariots Of Fire - Titles,Vangelis
984,Keep On Loving You,REO Speedwagon
985,I Love A Rainy Night,Eddie Rabbitt
986,Dance With Me,Peter Brown With Betty Wright
987,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
988,Falling,LeBlanc & Carr
989,On And On,Stephen Bishop
990,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band
991,She's Gone,Daryl Hall John Oates
992,Sara Smile,Daryl Hall John Oates
993,Love Machine (Part 1),The Miracles
994,Venus,Frankie Avalon
995,Breaking Up Is Hard To Do,Neil Sedaka
996,One Hell Of A Woman,Mac Davis
997,The Little Drummer Boy,The Harry Simeone Chorale
998,Save Your Tears,The Weeknd & Ariana Grande
999,Wockesha,Moneybagg Yo
1000,Therefore I Am,Billie Eilish
1001,34+35,Ariana Grande
1002,Kings & Queens,Ava Max
1003,My Oh My,Camila Cabello Featuring DaBaby
1004,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
1005,Heart On Ice,Rod Wave
1006,Pop Out,Polo G Featuring Lil Tjay
1007,Whiskey Glasses,Morgan Wallen
1008,Middle Child,J. Cole
1009,Envy Me,Calboy
1010,MIA,Bad Bunny Featuring Drake
1011,Trip,Ella Mai
1012,Beautiful,Bazzi Featuring Camila Cabello
1013,Natural,Imagine Dragons
1014,No Tears Left To Cry,Ariana Grande
1015,Whatever It Takes,Imagine Dragons
1016,Heaven,Kane Brown
1017,Let You Down,NF
1018,Lights Down Low,MAX Featuring gnash
1019,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
1020,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
1021,Black Beatles,Rae Sremmurd Featuring Gucci Mane
1022,Cold Water,Major Lazer Featuring Justin Bieber & MO
1023,Gold,Kiiara
1024,Send My Love (To Your New Lover),Adele
1025,Oui,Jeremih
1026,Hide Away,Daya
1027,Wildest Dreams,Taylor Swift
1028,Locked Away,R. City Featuring Adam Levine
1029,Flex (Ooh Ooh Ooh),Rich Homie Quan
1030,Uma Thurman,Fall Out Boy
1031,Time Of Our Lives,Pitbull & Ne-Yo
1032,Classic,MKTO
1033,Holy Grail,Jay Z Featuring Justin Timberlake
1034,Sweet Nothing,Calvin Harris Featuring Florence Welch
1035,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
1036,Blow Me (One Last Kiss),P!nk
1037,Rumour Has It,Adele
1038,Turn Me On,David Guetta Featuring Nicki Minaj
1039,Dirt Road Anthem,Jason Aldean
1040,The Lazy Song,Bruno Mars
1041,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
1042,Only Girl (In The World),Rihanna
1043,Deuces,Chris Brown Featuring Tyga & Kevin McCall
1044,California Gurls,Katy Perry Featuring Snoop Dogg
1045,Billionaire,Travie McCoy Featuring Bruno Mars
1046,Bulletproof,La Roux
1047,Imma Be,The Black Eyed Peas
1048,Paparazzi,Lady Gaga
1049,Day 'N' Nite,Kid Cudi
1050,Blame It,Jamie Foxx Featuring T-Pain
1051,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
1052,Single Ladies (Put A Ring On It),Beyonce
1053,Gotta Be Somebody,Nickelback
1054,Got Money,Lil Wayne Featuring T-Pain
1055,Dangerous,Kardinal Offishall Featuring Akon
1056,Take A Bow,Rihanna
1057,See You Again,Miley Cyrus
1058,Stronger,Kanye West
1059,We Fly High,Jim Jones
1060,Fergalicious,Fergie
1061,Me & U,Cassie
1062,Wake Me Up When September Ends,Green Day
1063,Pon de Replay,Rihanna
1064,Listen To Your Heart,D.H.T.
1065,Just A Lil Bit,50 Cent
1066,Rich Girl,Gwen Stefani Featuring Eve
1067,Caught Up,Usher
1068,On The Way Down,Ryan Cabrera
1069,Locked Up,Akon Featuring Styles P.
1070,Walked Outta Heaven,Jagged Edge
1071,Step In The Name Of Love,R. Kelly
1072,Crazy In Love,Beyonce Featuring Jay Z
1073,I'm With You,Avril Lavigne
1074,Beautiful,Christina Aguilera
1075,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common
1076,Heaven,DJ Sammy & Yanou Featuring Do
1077,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
1078,Always On Time,Ja Rule Featuring Ashanti
1079,The Star Spangled Banner,Whitney Houston
1080,Fill Me In,Craig David
1081,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
1082,Most Girls,P!nk
1083,Absolutely (Story Of A Girl),Nine Days
1084,I Try,Macy Gray
1085,Meet Virginia,Train
1086,The Rockafeller Skank,Fatboy Slim
1087,Lately,Divine
1088,Adia,Sarah McLachlan
1089,The Boy Is Mine,Brandy & Monica
1090,Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal"
1091,No Tengo Dinero,Los Umbrellos
1092,If It Makes You Happy,Sheryl Crow
1093,Pony,Ginuwine
1094,One Sweet Day,Mariah Carey & Boyz II Men
1095,I Wish,Skee-Lo
1096,Total Eclipse Of The Heart,Nicki French
1097,Hold On,Jamie Walters
1098,If You Love Me,Brownstone
1099,On Bended Knee,Boyz II Men
1100,The Rhythm Of The Night,Corona
1101,Before I Let You Go,BLACKstreet
1102,"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick
1103,"December 1963 (Oh, What A Night)",The 4 Seasons
1104,Now And Forever,Richard Marx
1105,Cantaloop (Flip Fantasia),US3
1106,The River Of Dreams,Billy Joel
1107,If,Janet Jackson
1108,I'm So Into You,SWV
1109,"Nuthin' But A ""G"" Thang",Dr. Dre
1110,No Ordinary Love,Sade
1111,If I Ever Fall In Love,Shai
1112,What About Your Friends,TLC
1113,Save The Best For Last,Vanessa Williams
1114,I'll Never Let You Go,Steelheart
1115,Sending All My Love,Linear
1116,Here And Now,Luther Vandross
1117,Love Song,Tesla
1118,Love Shack,The B-52s
1119,The Loco-Motion,Kylie Minogue
1120,"Wild, Wild West",The Escape Club
1121,The Flame,Cheap Trick
1122,Naughty Girls (Need Love Too),Samantha Fox
1123,Hot In The City,Billy Idol
1124,Heart And Soul,T'Pau
1125,Something About You,Level 42
1126,Conga,Miami Sound Machine
1127,Take On Me,a-ha
1128,Missing You,Diana Ross
1129,On The Dark Side,John Cafferty & The Beaver Brown Band
1130,Twilight Zone,Golden Earring
1131,Mickey,Toni Basil
1132,Steppin' Out,Joe Jackson
1133,Who Can It Be Now?,Men At Work
1134,867-5309/jenny,Tommy Tutone
1135,Endless Love,Diana Ross & Lionel Richie
1136,Queen Of Hearts,Juice Newton
1137,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio
1138,I Love You,Climax Blues Band
1139,All Out Of Love,Air Supply
1140,Do That To Me One More Time,Captain & Tennille
1141,Sad Eyes,Robert John
1142,I Will Survive,Gloria Gaynor
1143,Stayin' Alive,Bee Gees
1144,Emotion,Samantha Sang
1145,Just The Way You Are,Billy Joel
1146,Boogie Nights,Heatwave
1147,Send In The Clowns,Judy Collins
1148,(your Love Has Lifted Me) Higher And Higher,Rita Coolidge
1149,Angel In Your Arms,Hot
1150,I Like Dreamin',Kenny Nolan
1151,I Never Cry,Alice Cooper
1152,Love Is Alive,Gary Wright
1153,"December, 1963 (Oh, What a Night)",The 4 Seasons
1154,"Black Superman - ""Muhammad Ali""",Johnny Wakelin & The Kinshasa Band
1155,Running Bear,Johnny Preston
1156,Chasing After You,Ryan Hurd With Maren Morris
1157,On Me,Lil Baby
1158,The Christmas Song (Merry Christmas To You),Nat King Cole
1159,One Of Them Girls,Lee Brice
1160,Death Bed,Powfu Featuring beabadoobee
1161,Roxanne,Arizona Zervas
1162,Hot,Young Thug Featuring Gunna
1163,Beautiful People,Ed Sheeran Featuring Khalid
1164,Talk You Out Of It,Florida Georgia Line
1165,Money,Cardi B
1166,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
1167,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
1168,Back To You,Selena Gomez
1169,I Get The Bag,Gucci Mane Featuring Migos
1170,Loyalty.,Kendrick Lamar Featuring Rihanna
1171,Swang,Rae Sremmurd
1172,I Feel It Coming,The Weeknd Featuring Daft Punk
1173,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks
1174,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
1175,Controlla,Drake
1176,Just Like Fire,P!nk
1177,Never Be Like You,Flume Featuring Kai
1178,Really Really,Kevin Gates
1179,One Call Away,Charlie Puth
1180,Hello,Adele
1181,Antidote,Travis Scott
1182,Again,Fetty Wap
1183,Good For You,Selena Gomez Featuring A$AP Rocky
1184,Slow Motion,Trey Songz
1185,Somebody,Natalie La Rose Featuring Jeremih
1186,No Type,Rae Sremmurd
1187,Work It,"Missy ""Misdemeanor"" Elliott"
1188,A Sky Full Of Stars,Coldplay
1189,Summer,Calvin Harris
1190,Say Something,A Great Big World & Christina Aguilera
1191,Love More,Chris Brown Featuring Nicki Minaj
1192,We Can't Stop,Miley Cyrus
1193,The Way,Ariana Grande Featuring Mac Miller
1194,Bad,Wale Featuring Tiara Thomas Or Rihanna
1195,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
1196,Wagon Wheel,Darius Rucker
1197,Suit & Tie,Justin Timberlake Featuring JAY Z
1198,Diamonds,Rihanna
1199,Wide Awake,Katy Perry
1200,No Lie,2 Chainz Featuring Drake
1201,Where Have You Been,Rihanna
1202,Heart Attack,Trey Songz
1203,Feel So Close,Calvin Harris
1204,International Love,Pitbull Featuring Chris Brown
1205,A Thousand Years,Christina Perri
1206,Blow,Ke$ha
1207,S&M,Rihanna Featuring Britney Spears
1208,Bottoms Up,Trey Songz Featuring Nicki Minaj
1209,Like A G6,Far*East Movement Featuring Cataracs & Dev
1210,Carry Out,Timbaland Featuring Justin Timberlake
1211,Tie Me Down,New Boyz Featuring Ray J
1212,Evacuate The Dancefloor,Cascada
1213,Please Don't Leave Me,P!nk
1214,That's Not My Name,The Ting Tings
1215,Right Round,Flo Rida
1216,Green Light,John Legend Featuring Andre 3000
1217,Realize,Colbie Caillat
1218,Sexy Can I,Ray J & Yung Berg
1219,Kiss Kiss,Chris Brown Featuring T-Pain
1220,Hate That I Love You,Rihanna Featuring Ne-Yo
1221,First Time,Lifehouse
1222,Makes Me Wonder,Maroon 5
1223,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
1224,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie
1225,Welcome To The Black Parade,My Chemical Romance
1226,Through Glass,Stone Sour
1227,Promiscuous,Nelly Furtado Featuring Timbaland
1228,Dani California,Red Hot Chili Peppers
1229,Who Says You Can't Go Home,Bon Jovi
1230,Stickwitu,The Pussycat Dolls
1231,Laffy Taffy,D4L
1232,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
1233,I'm Sprung,T-Pain
1234,Shake It Off,Mariah Carey
1235,Don't Phunk With My Heart,The Black Eyed Peas
1236,Sugar (Gimme Some),"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo"
1237,My Boo,Usher And Alicia Keys
1238,Move Ya Body,Nina Sky Featuring Jabba
1239,Dude,Beenie Man Featuring Ms. Thing
1240,Dirt Off Your Shoulder,JAY-Z
1241,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz
1242,Read Your Mind,Avant
1243,Into You,Fabolous Featuring Tamia Or Ashanti
1244,dontchange,Musiq
1245,Cry,Faith Hill
1246,If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario
