song,artist
Shy Girl,The Cascades
Heart! (I Hear You Beating),Wayne Newton And The Newton Brothers
Amy,Paul Petersen
How Can I Forget,Ben E. King
They Remind Me Too Much Of You,Elvis Presley With The Mello Men
Don't Be Cruel,Barbara Lynn
"The 2,000 Pound Bee (Part 2)",The Ventures
Ain't Gonna Kiss Ya,The Ribbons
I'd Rather Be Here In Your Arms,The Duprees
I Need You,Rick Nelson
Darkest Street In Town,Jimmy Clanton
Little Tin Soldier,The Toy Dolls
Road Hog,John D. Loudermilk
Getting Ready For The Heartbreak,Chuck Jackson
Heart Breaker,Dean Christie
Fools Rush In,Etta James
The Alley Cat Song,David Thorne
Four Walls,Kay Starr
Mama Sang A Song,Bill Anderson
Don't Ever Leave Me,Bob And Earl
What Kind Of Fool Am I,Anthony Newley
...And Then There Were Drums,Sandy Nelson
Forever And A Day,Jackie Wilson
What's Gonna Happen When Summer's Done,Freddy Cannon
Big Love,Joe Henderson
There Is No Greater Love,The Wanderers
I Want To Be Loved,Dinah Washington
Silly Boy (She Doesn't Love You),The Lettermen
Careless Love,Ray Charles
"Theme From ""Hatari!""",Henry Mancini And His Orchestra
Hot Pepper,Floyd Cramer
Shout And Shimmy,James Brown And The Famous Flames
I Just Can't Help It,Jackie Wilson
Sweet And Lovely,April Stevens & Nino Tempo
That Greasy Kid Stuff,Janie Grant
Potato Peeler,Bobby Gregg and His Friends
Good Lover,Jimmy Reed
Baby Elephant Walk,The Miniature Men
Who Will The Next Fool Be,Bobby Bland
Amor,Roger Williams
Pictures In The Fire,Pat Boone
Lose Her,Bobby Rydell
Do You Know How To Twist,Hank Ballard
So Deep,Brenda Lee
Midnight,Johnny Gibson
"Shimmy, Shimmy Walk, Part 1",The Megatons
I Told The Brook,Marty Robbins
But On The Other Hand Baby,Ray Charles and his Orchestra
I Need Some One,The Belmonts
Pop Goes The Weasel,Anthony Newley
Searching,Jack Eubanks
Lonesome Number One,Don Gibson
The Peppermint Twist,Danny Peppermint and the Jumping Jacks
A Certain Girl,Ernie K-Doe
Broken Heart And A Pillow Filled With Tears,Patti Page
Let True Love Begin,Nat King Cole
Muskrat,The Everly Brothers
Cinderella,Paul Anka
Impossible,Gloria Lynne
A Little Dog Cried,Jimmie Rodgers
I Don't Like It Like That,The Bobbettes
My Dream Come True,Jack Scott
"Baby, You're Right",James Brown And The Famous Flames
Donald Where's Your Troosers?,Andy Stewart
Back Beat No. 1,The Rondels
Hully Gully Again,Little Caesar and The Romans
My Heart's On Fire,Billy Bland
Here In My Heart,Al Martino
Black Land Farmer,Frankie Miller
All I Have To Do Is Dream,The Everly Brothers
Tender Years,George Jones
Granada,Frank Sinatra
Point Of No Return,Adam Wade
Daydreams,Johnny Crawford
"(Theme From) ""Goodbye Again""",Ferrante & Teicher
Stick With Me Baby,The Everly Brothers
The Lonely Crowd,Teddy Vann
How Many Tears,Bobby Vee
Milord,Teresa Brewer
Lonesome Whistle Blues,Freddy King
Son-In-Law,The Blossoms
A Cross Stands Alone,Jimmy Witter
Shy Away,Jerry Fuller
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson
The Charanga,Merv Griffin
Trees,The Platters
The Next Kiss (Is The Last Goodbye),Conway Twitty
Where I Fell In Love,The Capris
Little Pedro,The Olympics
The Blizzard,Jim Reeves
Lonely Blue Nights,Rosie
All Of Everything,Frankie Avalon
Cherié,Bobby Rydell
A Texan And A Girl From Mexico,Anita Bryant
I'm Learning About Love,Brenda Lee
Close Together,Jimmy Reed
Dedicated To The One I Love,"The ""5"" Royales"
Sound-Off,Titus Turner
Chills And Fever,Ronnie Love And His Orchestra
Don't Read The Letter,Patti Page
"Rockin', Rollin' Ocean",Hank Snow
I Idolize You,Ike & Tina Turner
Rambling,The Ramblers
Hardhearted Hannah,Ray Charles
Sweet Dreams,Don Gibson
Psycho,Bobby Hendricks
That's How Much,Brian Hyland
Patsy,Jack Scott
Midnight Lace,Ray Ellis
Midnight Lace - Part I,Ray Conniff His Orchestra And Chorus
Humdinger,Freddy Cannon
My Hero,The Blue Notes
Shoppin' For Clothes,The Coasters
You Talk Too Much,Frankie Ford
Five Brothers,Marty Robbins
Just Call Me (And I'll Understand),Lloyd Price and His Orchestra
Tonight's The Night,The Chiffons
Journey Of Love,The Crests featuring Johnny Mastro
Shortnin' Bread,Paul Chaplain and his Emeralds
The Old Oaken Bucket,Tommy Sands
Little Bitty Pretty One,Frankie Lymon
The Brigade Of Broken Hearts,Paul Evans
Johnny Freedom,Johnny Horton
Second Honeymoon,Johnny Cash
Shadows Of Love,LaVern Baker
City Lights,Debbie Reynolds
Beautiful Obsession,Sir Chauncey and his exciting strings
Wheel Of Fortune,LaVern Baker
Easy Lovin',Wade Flemons
Jambalaya,Bobby Comstock And The Counts
Secret Of Love,Elton Anderson With Sid Lawrence Combo
Peace Of Mind,Teresa Brewer
Do-Re-Mi,Mitch Miller
Gilee,Sonny Spencer
Breaking Up Is Hard To Do,Jivin' Gene And The Jokers
Boogie Bear,Boyd Bennett
Suzie Baby,Bobby Vee and The Shadows
I'm Coming Home,Marv Johnson
Sweet Someone,Eddie and Betty
"One Love, One Heart",The Four Coins
A Prayer And A Juke Box,Little Anthony And The Imperials
I'm Gonna Change Him,Cathy Carr
I Must Be Dreaming,Nat King Cole
(I Don't Care) Only Love Me,Steve Lawrence
Someone To Come Home To,The Ames Brothers
Kansas City,Rocky Olson
Little Queenie,Chuck Berry
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha),Pat Boone
The Walls Have Ears,Patti Page
Jo-Jo The Dog-Faced Boy,Annette
I Never Felt Like This,Jack Scott
Star Love,The Playmates
Boom-A-Dip-Dip,Stan Robinson
I Kneel At Your Throne,Joe Medlin
Hurtin' Inside,Brook Benton
Bunny Hop,The Applejacks
Jupiter-C,Pat and the Satellites
Give Me Your Love,Nat King Cole
I Talk To The Trees,Edmundo Ros and His Orchestra
Teach Me Tonight Cha Cha,The DeCastro Sisters
Heartbeat,Buddy Holly
Funny,Jesse Belvin
¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios
Diamond Ring,Jerry Wallace
Little Red Riding Hood,Big Bopper
The World Outside,The Four Aces
Intermission Riff,Bernie Lowe Orchestra
Crazy Country Hop,Johnny Otis
White Bucks And Saddle Shoes,"Bobby Pedrick, Jr."
Almost In Your Arms,Johnny Nash
My Lucky Love,Doug Franklin With The Bluenotes
Your Cheatin' Heart,George Hamilton IV
When Will I Know,George Hamilton IV
Count Every Star,The Rivieras
Where The Blue Of The Night,Tommy Mara
You're A Sweetheart,Little Willie John
Padre,Toni Arden
Happy Years,The Diamonds
Midnight,Paul Anka
The Purple People Eater,Sheb Wooley
Return To Me,Dean Martin
Easy On Me,Adele
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
'Til You Can't,Cody Johnson
Tequila Little Time,Jon Pardi
WFM,Realestk
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas"
Freedom Was A Highway,Jimmie Allen & Brad Paisley
Like A Lady,Lady A
Who's In Your Head,Jonas Brothers
Just About Over You,Priscilla Block
Woo Baby,Pop Smoke Featuring Chris Brown
Your Heart,Joyner Lucas & J. Cole
Bad Morning,YoungBoy Never Broke Again
Race My Mind,Drake
7am On Bridle Path,Drake
In Da Getto,J Balvin & Skrillex
Jail,Kanye West
Repeat It,Lil Tecca & Gunna
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino
Still Runnin,"Lil Baby, Lil Durk & Meek Mill"
How It Feels,Lil Baby & Lil Durk
Voice Of The Heroes,Lil Baby & Lil Durk
Hope Ur OK,Olivia Rodrigo
amari,J. Cole
95.south,J. Cole
interlude,J. Cole
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo
Big Purr (Prrdd),Coi Leray & Pooh Shiesty
As I Am,Justin Bieber Featuring Khalid
Skin,Sabrina Carpenter
Blue Christmas,Elvis Presley
Hallelujah,Carrie Underwood & John Legend
Under The Mistletoe,Kelly Clarkson & Brett Eldredge
Life Goes On,BTS
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj
Forget Me Too,Machine Gun Kelly & Halsey
Glock In My Lap,21 Savage & Metro Boomin
Moral Of The Story,Ashe Featuring Niall Horan
All In,YoungBoy Never Broke Again
Lets Link,WhoHeem
B*tch From da Souf,Mulatto
Shotta Flow 5,NLE Choppa
Cooler Than A Bitch,Gunna Featuring Roddy Ricch
Sigues Con El,Arcangel x Sech
Solitaires,Future Featuring Travis Scott
Pain 1993,Drake Featuring Playboi Carti
Loyal,PARTYNEXTDOOR Featuring Drake
Lo Mein,Lil Uzi Vert
Ignorantes,Bad Bunny & Sech
None Of Your Concern,Jhene Aiko Featuring Big Sean
Numbers,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track"
No Time To Die,Billie Eilish
King Of My City,A Boogie Wit da Hoodie
ORANGE SODA,Baby Keem
Let Me Know (I Wonder Why Freestyle),Juice WRLD
Legends,Juice WRLD
Show Yourself,Idina Menzel & Evan Rachel Wood
Cuban Links,Rod Wave & Kevin Gates
I'll Kill You,Summer Walker Featuring Jhene Aiko
Writing On The Wall,"French Montana Featuring Post Malone, Cardi B & Rvssian"
A Thousand Bad Times,Post Malone
Shameless,Camila Cabello
The Archer,Taylor Swift
Uno,Ambjaay
Gold Roses,Rick Ross Featuring Drake
Single Again,Big Sean
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby"
Out The Mud,Lil Baby Featuring Future
Mother's Daughter,Miley Cyrus
Paradise,Bazzi
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
Last Time That I Checc'd,Nipsey Hussle Featuring YG
My Bad,Khalid
Red Room,Offset
NASA,Ariana Grande
Bad Idea,Ariana Grande
Bloodline,Ariana Grande
First Off,Future Featuring Travis Scott
Keanu Reeves,Logic
idontwannabeyouanymore,Billie Eilish
Monster,21 Savage
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
whoa (mind in awe),XXXTENTACION
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie
TIC TOC,6ix9ine Featuring Lil Baby
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD
Don't Cry,Lil Wayne Featuring XXXTENTACION
"If I'm Lyin, I'm Flyin",Kodak Black
Self Care,Mac Miller
Not Alike,Eminem Featuring Royce Da 5'9
Kamikaze,Eminem
IDOL,BTS Featuring Nicki Minaj
Taking A Walk,Trippie Redd
Sober,Demi Lovato
Ocean,TK Kravitz Featuring Jacqueez
Elevate,Drake
Blue Tint,Drake
After Dark,Drake Featuring Static Major & Ty Dolla $ign
8 Out Of 10,Drake
Talk Up,Drake Featuring JAY-Z
Me Niego,Reik Featuring Ozuna & Wisin
Say Amen (Saturday Night),Panic! At The Disco
I Know You,Lil Skies Featuring Yung Pinch
Numb,XXXTENTACION
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty
Over Now,Post Malone
Zack And Codeine,Post Malone
Same Bitches,Post Malone Featuring G-Eazy & YG
Takin' Shots,Post Malone
92 Explorer,Post Malone
Thru Your Phone,Cardi B
Best Life,Cardi B Featuring Chance The Rapper
Wasted Times,The Weeknd
No Roots,Alice Merton
The Champion,Carrie Underwood Featuring Ludacris
The Ways,Khalid & Swae Lee
For You (Fifty Shades Freed),Liam Payne & Rita Ora
Criminal,Natti Natasha x Ozuna
Diplomatic Immunity,Drake
Sick Boy,The Chainsmokers
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo"
Curve,Gucci Mane Featuring The Weeknd
These Heaux,Bhad Bhabie
444+222,Lil Uzi Vert
Perplexing Pegasus,Rae Sremmurd
Patty Cake,Kodak Black
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo"
What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair"
The Story Of O.J.,JAY-Z
Nobody Else But You,Trey Songz
XXX.,Kendrick Lamar Featuring U2
Yah.,Kendrick Lamar
Still Got Time,Zayn Featuring PARTYNEXTDOOR
Sacrifices,Drake Featuring 2 Chainz & Young Thug
Comin Out Strong,Future Featuring The Weeknd
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God
No Favors,Big Sean Featuring Eminem
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy
If The Boot Fits,Granger Smith
Beibs In The Trap,Travis Scott
Die For You,The Weeknd
That's My Girl,Fifth Harmony
Shout Out To My Ex,Little Mix
Lush Life,Zara Larsson
M.I.L.F. $,Fergie
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner"
Redemption,Drake
6 Inch,Beyonce Featuring The Weeknd
New Level,A$AP Ferg Featuring Future
Pt. 2,Kanye West
Like I Would,Zayn
Something New,Zendaya Featuring Chris Brown
Alive,Sia
Already Callin' You Mine,Parmalee
No Sense,Justin Bieber Featuring Travi$ Scott
Change Locations,Drake & Future
Cecilia And The Satellite,Andrew McMahon In The Wilderness
Tell Your Friends,The Weeknd
About You,Trey Songz
Prisoner,The Weeknd Featuring Lana Del Rey
Dark Times,The Weeknd Featuring Ed Sheeran
High By The Beach,Lana Del Rey
Coffee,Miguel
L$D,A$AP Rocky
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan"
Masterpiece,Jessie J
Glory,Common & John Legend
Shots,Imagine Dragons
Can't Stop Dancin',Becky G
Something Big,Shawn Mendes
Break The Rules,Charli XCX
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik"
Guts Over Fear,Eminem Featuring Sia
Bobby Bitch,Bobby Shmurda
Made Me,Snootie Wild Featuring K Camp
Angel In Blue Jeans,Train
Bend Ova,Lil Jon Featuring Tyga
It Was Always You,Maroon 5
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink"
She Twerkin,Ca$h Out
First Love,Jennifer Lopez
Don't Stop,5 Seconds Of Summer
I Won,Future Featuring Kanye West
Midnight,Coldplay
Fever,The Black Keys
Beating Heart,Ellie Goulding
Glory And Gore,Lorde
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island
Confident,Justin Bieber Featuring Chance The Rapper
Midnight Memories,One Direction
m.A.A.d City,Kendrick Lamar Featuring MC Eiht
Little Drummer Boy,Pentatonix
Closer,Tegan And Sara
Wu-Tang Forever,Drake
Baby I,Ariana Grande
Hail To The King,Avenged Sevenfold
Wildfire,John Mayer
Chloe (You're The One I Want),Emblem3
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan"
I Hit It First,Ray J Featuring Bobby Brackins
Don't Rush,Kelly Clarkson Featuring Vince Gill
Gold,Britt Nicole
As Your Friend,Afrojack Featuring Chris Brown
Let There Be Cowgirls,Chris Cagle
I Dreamed A Dream,Anne Hathaway
My Life,50 Cent Featuring Eminem & Adam Levine
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee
Holland Road,Mumford & Sons
Ghosts That We Knew,Mumford & Sons
I Don't Like,Chief Keef Featuring Lil Reese
Shadow Days,John Mayer
Cough Syrup,Young The Giant
The Champ,Nelly
First Of The Year (Equinox),Skrillex
We Are Young,Glee Cast
Rumour Has It / Someone Like You,Glee Cast
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s
Papi,Jennifer Lopez
Hell On Heels,Pistol Annies
Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa"
Watch Me,Bella Thorne & Zendaya
Iridescent,Linkin Park
Next To You,Chris Brown Featuring Justin Bieber
Turning Tables,Adele
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
Georgia Clay,Josh Kelley
Loser Like Me,Glee Cast
Boyfriend,New Hollow
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat
Christmas Lights,Coldplay
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow
Teenage Dream,Glee Cast
Sick,New Hollow
Speak Now,Taylor Swift
Gonorrhea,Lil Wayne Featuring Drake
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson
Nightmare,Avenged Sevenfold
Jessie's Girl,Glee Cast
Window Seat,Erykah Badu
Gypsy,Shakira
Love King,The-Dream
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne
Alice,Avril Lavigne
Cryin' Like A Bitch!,Godsmack
Pants On The Ground,General Larry Platt
Rain,Creed
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton
Defying Gravity,Glee Cast
Jump Then Fall,Taylor Swift
Forever & Always,Taylor Swift
Good Morning,Chamillionaire
Honky Tonk Stomp,Brooks & Dunn Featuring Billy Gibbons
Shake My,Three 6 Mafia Featuring Kalenna
Joey,Sugarland
Radar,Britney Spears
No Boundaries,Kris Allen
Heartless,Kris Allen
Mad World,Adam Lambert
Home Sweet Home,Carrie Underwood
Epiphany (I'm Leaving),Chrisette Michele
Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus
Imma Put It On Her,DAY26 Featuring P. Diddy & Yung Joc
Let's Get Crazy,Hannah Montana
Marry For Money,Trace Adkins
Hot Revolver,Lil Wayne
Get On Your Boots,U2
When It Hurts,Avant
Chinese Democracy,Guns N' Roses
Now Or Never,High School Musical 3 Cast
Cuddy Buddy,Mike Jones Featuring Trey Songz & Twista
American Boy,Studio All-Stars
Believe,Staind
Change,Taylor Swift
Marco Polo,Bow Wow Featuring Soulja Boy Tell'em
Life In A Northern Town,Sugarland Featuring Little Big Town & Jake Owen
Gotta Find You,Joe Jonas
We Rock,Cast Of Camp Rock
Another Try,Josh Turner Featuring Trisha Yearwood
Got Me Going,DAY26
Go On Girl,Ne-Yo
Diamond Girl,Ryan Leslie
Falling Slowly,The Swell Season (Glen Hansard & Marketa Irglova)
Honey,Erykah Badu
Wanna Be Startin' Somethin' 2008,Michael Jackson With Akon
Start All Over,Miley Cyrus
Witch Doctor (2007),Alvin And The Chipmunks Featuring Chris Classic
Sexy Movimiento,Wisin & Yandel
Music Is My Hot Hot Sex,CSS
1973,James Blunt
Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens
Bet On It,Zac Efron
Before It's Too Late (Sam And Mikaela's Theme),Goo Goo Dolls
Straight To The Bank,50 Cent
Do It Just Like A Rockstar,Freak Nasty Featuring Crazy Mike
Dig,Incubus
It's Me Snitches,Swizz Beatz
Get Buck,Young Buck
"My, Oh My",The Wreckers
River,Sarah McLachlan
So Excited,Janet Featuring Khia
Canadian Idiot,"""Weird Al"" Yankovic"
Vans,The Pack
Feels Just Like It Should,Pat Green
Labios Compartidos,Mana
Number One,Pharrell Featuring Kanye West
"Why, Why, Why",Billy Currington
Down,RKM & Ken-Y
Wanted Dead Or Alive,Chris Daughtry
Speak,Godsmack
Lo Que Son Las Cosas,Anais
Gold Lion,Yeah Yeah Yeahs
Animals,Nickelback
What I've Been Looking For,Lucas Grabeel & Ashley Tisdale
We Belong Together,Gavin DeGraw
Stricken,Disturbed
Precious,Depeche Mode
Touch,Omarion
She's No You,Jesse McCartney
Under Pressure,The Used And My Chemical Romance
Class Reunion (That Used To Be Us),Lonestar
Sometimes You Can't Make It On Your Own,U2
I'll Be Around,Daryl Hall John Oates
Diamond In The Back,Ludacris
Slow,Kylie Minogue
I Need You Now,Smokie Norful
This Is How We Do,Big Tymers
Rest In Pieces,Saliva
Simply Being Loved (Somnambulist),BT
Feelin' Freaky,Nick Cannon Featuring B2K
Flipside,Freeway Featuring Peedi Crakk
Step Daddy,Hitman Sammy Sam
Soldier's Heart,R. Kelly
The One You Love,Paulina Rubio
Put Me Down,Donell Jones
Whatchulookinat,Whitney Houston
Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox
I Told Y'all,Petey Pablo
Closet Freak,Cee-Lo
Knoc,"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott"
Never Too Far/Hero Medley,Mariah Carey
John Doe,Public Announcement Featuring LeLe
Shine,"Lil' Wayne Featuring Baby, Mack 10 & Mickey"
Bia' Bia',"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte"
Don't Mess With The Radio,Nivea
Lucky 4 You (Tonight I'm Just Me),SHeDAISY
Bouncing Off The Ceiling (Upside Down),A*Teens
All Good?,De La Soul Featuring Chaka Khan
Spanish Guitar,Toni Braxton
The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether
I'm Outta Love,Anastacia
Get Up,Amel Larrieux
Still In My Heart,Tracie Spencer
"Tricky, Tricky",Lou Bega
This Gift,98 Degrees
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones
Deck The Halls,SHeDAISY
Step To This,Master P Featuring D.I.G.
Missing You,Brooks & Dunn
Jigga What...,Jay-Z Featuring Big Jaz
Harmless,Mulberry Lane
I'm Leaving,Aaron Tippin
Malibu,Hole
Jump Jive An' Wail,The Brian Setzer Orchestra
How Do You Sleep At Night,Wade Hayes
Daysleeper,R.E.M.
Enjoy Yourself,A+
Love For Free,Rell Featuring Jay-Z
Superhero,Daze
Much Better,Club 69 Featuring Suzanne Palmer
Only If...,Enya
Home,Depeche Mode
Kiss You All Over,No Mercy
The Joint,EPMD
Dream,Forest For The Trees
Off The Books,The Beatnuts Featuring Big Punisher & Cuban Link
Far From Yours,O.C. Featuring Yvette Michele
"Dancehall Queen (From ""Dancehall Queen"")",Beenie Man Featuring Chevelle Franklyn
"Call Me (From ""Booty Call"")",Too Short & Lil' Kim
Drop Dead Gorgeous,Republica
Passion,K5
Lady,Mista
Beyond The Invisible,Enigma
I'm So Happy I Can't Stop Crying,Sting
Jump On It,Sir Mix-A-Lot
Dirty South,Goodie Mob
Boom Biddy Bye Bye,Cypress Hill
"Hoop In Yo Face (From ""Sunset Park"")",69 Boyz Featuring Quad City DJ's
Don't Rush,Silk
Drop,The Pharcyde
Microphone Master,Das EFX (Featuring Mobb Deep)
Cold World,Genius/GZA Featuring Inspektah Deck
Friends Of P.,The Rentals
Funny How Time Flies,Intro
Awake,Letters To Cleo
Not Enough,Van Halen
Walking To Jerusalem,Tracy Byrd
What Mattered Most,Ty Herndon
Rainy Days,General Public
Only One Road,Celine Dion
Behind Bars,Slick Rick
Sun's Gonna Rise,Sass Jordan
Hit By Love,CeCe Peniston
I Saw It Cummin',PMD
Cleopatra's Cat,Spin Doctors
I Believe,The Sounds Of Blackness
"Old Times' Sake (From ""Above The Rim"")",Sweet Sable
March Of The Pigs,Nine Inch Nails
Heaven Help/Spinning Around Over You,Lenny Kravitz
Rock My World (Little Country Girl),Brooks & Dunn
Money In The Ghetto,Too $hort
Krazy,Blackgirl
I'm In Love,Lisa Keith
Addams Family (Whoomp!),Tag Team
Commitment Of The Heart,Clive Griffin
I'm A Player,Too $hort
Written On Ya Kitten,Naughty By Nature
Shifftee,Onyx
Heaven Knows,Luther Vandross
Lost In Your Eyes,The Jeff Healey Band
La La Love,Bobby Ross Avila
Love Me Or Leave Me Alone,Brand Nubian
Throw Ya Gunz,Onyx
Stop The World,Extreme
Toss-Up,N2Deep
"All Alone On Christmas (From ""Home Alone 2"")",Darlene Love
Rest In Peace,Extreme
Do You Everynite,Joe Public
Inside That I Cried,CeCe Peniston
It Doesn't Matter,Tyler Collins
"All Shook Up (From ""Honeymoon In Vegas"")",Billy Joel
I've Got Mine,Glenn Frey
Bad Bad Boys,Midi Maxi & Efti
This Is The Way We Roll,M.C. Hammer
No Sunshine,Kid Frost
Butt Naked,Charm
Wasted Time,Skid Row
Everybody Move,Cathy Dennis
Double Good Everything,Smokey Robinson
All About You,Pretty In Pink
"Gotta Have You (From ""Jungle Fever"")",Stevie Wonder
Still Got The Blues,Gary Moore
How Can You Expect To Be Taken Seriously?,Pet Shop Boys
Close To Me,The Cure
Rockin' Over The Beat,Technotronic
Falling To Pieces,Faith No More
Don't You Wanna Be Mine,Denise Lopez
Biscuit's In The House,Biscuit
Lost Soul,Bruce Hornsby & The Range With Shawn Colvin
Nick Of Time,Bonnie Raitt
Only My Heart Talkin',Alice Cooper
Precious Love,Jody Watley
Imagination,Xymox
I'm Not Satisfied,Fine Young Cannibals
Name And Number,Big Noise
No Souvenirs,Melissa Etheridge
Love's About to Change My Heart,Donna Summer
This One,Paul McCartney
Still Cruisin',The Beach Boys
Ain't Too Proud To Beg,Rick Astley
Falling Out Of Love,Ivan Neville
Left To My Own Devices,Pet Shop Boys
(Believed You Were) Lucky,'Til Tuesday
"Love, Truth & Honesty",Bananarama
If You Feel It,Denise Lopez
"Louie, Louie",Fat Boys
Live It Up,Gardner Cole
Reason To Try,Eric Carmen
Tell That Girl To Shut Up,Transvision Vamp
Hands On The Radio,Henry Lee Summer
Button Off My Shirt,Paul Carrack
When You Walk In The Room,Paul Carrack
Broken Land,The Adventures
I Wasn't The One (Who Said Goodbye),Agnetha Faltskog/Peter Cetera
Winter Games,David Foster
Without You,Peabo Bryson & Regina Belle
The Motion Of Love,Gene Loves Jezebel
We Should Be Sleeping,Eddie Money
Solitude Standing,Suzanne Vega
Niagara Falls,Chicago
Shy Boys,Ana
Hearts Away,Night Ranger
Little Suzi,Tesla
One Simple Thing,Stabilizers
Dancin' With My Mirror,Corey Hart
Make It Mean Something,Rob Jungklas
I Want To Make The World Turn Around,The Steve Miller Band
I'm For Real,Howard Hewett
Fall On Me,R.E.M.
This Is The Time,Dennis DeYoung
Land Of La La,Stevie Wonder
Don't Walk Away,Robert Tepper
One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry"
No Frills Love,Jennifer Holliday
Prove Me Wrong,David Pack
Good Friends,Joni Mitchell
Sounds Of Your Voice,Jon Butcher Axis
Shock,The Motels
Master & Servant/(Set Me Free) Remotivate Me,Depeche Mode
Real Love,Dolly Parton (Duet With Kenny Rogers)
Let's Go Out Tonight,Nile Rodgers
Little Sheila,Slade
Jammin',Teena Marie
I'm Through With Love,Eric Carmen
One Night In Bangkok,Robey
Bongo Bongo,Steve Miller
If I Had A Rocket Launcher,Bruce Cockburn
Baby Come Back To Me,The Manhattan Transfer
Friends/Five Minutes Of Funk,Whodini
All Night Long,Billy Squier
Wanted Man,Ratt
Don't Be My Enemy,Wang Chung
Yes Or No,Go-Go's
Video,Jeff Lynne
Don't Do Me,Randy Bell
I Lost On Jeopardy,"""Weird Al"" Yankovic"
Such A Shame,Talk Talk
Gotta Give A Little Love (Ten Years Later),Timmy Thomas
Devil In A Fast Car,Sheena Easton
Hands Across The Sea,Modern English
Unfaithfully Yours (Our Love),Stephen Bishop
Flashes,Tiggi Clay
Shooting Shark,Blue Oyster Cult
That Was Then But This Is Now,ABC
The Flyer,Saga
I Like,Men Without Hats
Dirty Looks,Juice Newton
Masquerade,Berlin
Take Away,Big Ric
A Million Miles Away,The Plimsouls
Night Pulse,Double Image
Keep It Confidential,Nona Hendryx
Dancing In The Shadows,After The Fire
Fools Game,Michael Bolton
Love On My Mind Tonight,The Temptations
Count On Me,Gerard McMahon
777-9311,The Time
I'm Never Gonna Say Goodbye,Billy Preston
Sad Hearts,Four Tops
Ain't Nothing Like The Real Thing/You're All I Need To Get By,Chris Christian (with Amy Holland)
Younger Days,Joe Fagin
Outlaw,War
Too Good To Turn Back Now,Rick Bowles
Fool For Your Love,Jimmy Hall
Loving You,Chris Rea
The Longer You Wait,Gino Vannelli
Opposites Do Attract,All Sports Band
Start It All Over,McGuffey Lane
Seasons Of Gold,Gidea Park featuring Adrian Baker
The Jam Was Moving,Debbie Harry
Back To The 60's,Tight Fit
